ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
213,Can I Kick It,A Tribe Called Quest,A Tribe Called Quest,1990,male,4,1,0,0,0,1,0,FALSE,FALSE
214,Can I Live,JAY-Z,JAY-Z,1996,male,4,1,0,0,0,1,0,FALSE,FALSE
215,Feelin’ Myself,Mac Dre,Mac Dre,2004,male,4,1,0,0,0,1,0,TRUE,FALSE
216,Fight Da Faida,Frankie HI-NRG MC,Frankie HI-NRG MC,1993,male,4,1,0,0,0,1,0,TRUE,FALSE
217,Get By,Talib Kweli,Talib Kweli,2002,male,4,1,0,0,0,1,0,TRUE,FALSE
218,Goosebumps,Travis Scott ft. Kendrick Lamar,Travis Scott ft. Kendrick Lamar,2016,male,4,1,0,0,0,1,0,TRUE,FALSE
219,Gossip,Lil Wayne,Lil Wayne,2007,male,4,1,0,0,0,1,0,FALSE,FALSE
220,Grief,Earl Sweatshirt,Earl Sweatshirt,2015,male,4,1,0,0,0,1,0,TRUE,FALSE
221,Ha,Juvenile,Juvenile,2008,male,4,1,0,0,0,1,0,TRUE,FALSE
222,Have a Nice Day,Roxanne Shante,Roxanne Shante,1989,female,4,1,0,0,0,1,0,TRUE,FALSE
223,Hold You Down,Alchemist ft. Nina Sky & Prodigy & Illa Ghee,Alchemist ft. Nina Sky & Prodigy & Illa Ghee,2004,mixed,4,1,0,0,0,1,0,TRUE,FALSE
224,Hovi Baby,JAY-Z,JAY-Z,2002,male,4,1,0,0,0,1,0,FALSE,FALSE
225,I Like That,Janelle Monae,Janelle Monae,2018,female,4,1,0,0,0,1,0,TRUE,FALSE
226,I Luv U,Dizzee Rascal,Dizzee Rascal,2003,male,4,1,0,0,0,1,0,TRUE,FALSE
227,I Used To Love Him,Lauryn Hill ft. Mary J Blige,Lauryn Hill ft. Mary J Blige,1998,female,4,1,0,0,0,1,0,TRUE,FALSE
228,I Wonder,Kanye West,Kanye West,2007,male,4,1,0,0,0,1,0,FALSE,FALSE
229,I've Seen Footage,Death Grips,Death Grips,2012,male,4,1,0,0,0,1,0,TRUE,FALSE
230,It’s All About The Benjamins (Remix),Puff Daddy ft. The Notorious B.I.G. & Lil’ Kim & The LOX,Puff Daddy ft. The Notorious B.I.G. & Lil’ Kim & The LOX,1997,mixed,4,1,0,0,0,1,0,TRUE,FALSE
231,Keep It On The Real,3X Krazy,3X Krazy,1997,male,4,1,0,0,0,1,0,TRUE,FALSE
232,Kyoto,Yung Lean,Yung Lean,2013,male,4,1,0,0,0,1,0,TRUE,FALSE
233,La Di Da Di,Doug E Fresh & The Get Fresh Crew,Doug E Fresh & The Get Fresh Crew,1985,male,4,1,0,0,0,1,0,TRUE,FALSE
234,La La La,Lil Wayne,Lil Wayne,2007,male,4,1,0,0,0,1,0,FALSE,FALSE
235,Love Of My Life (An Ode To Hip Hop),Erykah Badu ft. Common,Erykah Badu ft. Common,2002,mixed,4,1,0,0,0,1,0,TRUE,FALSE
236,Love Yourz,J Cole,J Cole,2014,male,4,1,0,0,0,1,0,TRUE,FALSE
237,My Name Is,Eminem,Eminem,1999,male,4,1,0,0,0,1,0,FALSE,TRUE
238,Oh Yeah,Foxy Brown,Foxy Brown,2001,female,4,1,0,0,0,1,0,TRUE,FALSE
239,Ojuelegba (Remix),Wizkid ft. Drake & Skepta,Wizkid ft. Drake & Skepta,2015,male,4,1,0,0,0,1,0,TRUE,FALSE
240,One Day,UGK,UGK,1996,male,4,1,0,0,0,1,0,FALSE,TRUE
241,Play That Beat Mr DJ,GLOBE & Whiz Kid,GLOBE & Whiz Kid,2001,male,4,1,0,0,0,1,0,TRUE,FALSE
242,Puppet Master,Dr Dre ft. B-Real,Dr Dre ft. B-Real,1997,male,4,1,0,0,0,1,0,TRUE,FALSE
243,Quiet Storm (Remix ft. Lil Kim),Mobb Deep,Mobb Deep,1999,male,4,1,0,0,0,1,0,FALSE,TRUE
244,Quiet Storm (Remix),Mobb Deep ft. Lil’ Kim,Mobb Deep ft. Lil’ Kim,1999,mixed,4,1,0,0,0,1,0,TRUE,FALSE
245,Renegade,JAY-Z ft. Eminem,JAY-Z ft. Eminem,2001,male,4,1,0,0,0,1,0,TRUE,FALSE
246,Respiration,Black Star ft. Common,Black Star ft. Common,1998,male,4,1,0,0,0,1,0,TRUE,FALSE
247,Sim Dope,AKA,AKA,2014,male,4,1,0,0,0,1,0,TRUE,FALSE
248,Sippin On Some Syrup,Three 6 Mafia ft. UGK,Three 6 Mafia ft. UGK,2000,male,4,1,0,0,0,1,0,TRUE,FALSE
249,Sky’s The Limit,The Notorious B.I.G ft. 112,The Notorious B.I.G ft. 112,1997,male,4,1,0,0,0,1,0,TRUE,FALSE
250,Slow It Down,Little Brother,Little Brother,2005,male,4,1,0,0,0,1,0,TRUE,FALSE
251,So What’cha Want,Beastie Boys,Beastie Boys,1992,male,4,1,0,0,0,1,0,FALSE,TRUE
252,Sock It 2 Me,Missy Elliott ft. Da Brat,Missy Elliott ft. Da Brat,1997,female,4,1,0,0,0,1,0,TRUE,FALSE
253,Swangin’ and Bangin',E.S.G.,E.S.G.,1993,male,4,1,0,0,0,1,0,TRUE,FALSE
254,Tha Crossroads,Bone Thugs-N-Harmony,Bone Thugs-N-Harmony,1996,male,4,1,0,0,0,1,0,TRUE,FALSE
255,Tried by 12,East Flatbush Project,East Flatbush Project,1996,male,4,1,0,0,0,1,0,TRUE,FALSE
256,Who Am I (What’s My Name)?,Snoop Dogg,Snoop Dogg,1993,male,4,1,0,0,0,1,0,TRUE,FALSE
257,All Caps,Madvillain,Madvillain,2004,male,2,1,0,0,0,0,1,FALSE,TRUE
258,All Falls Down,Kanye West ft. Syleena Johnson,Kanye West ft. Syleena Johnson,2004,mixed,2,1,0,0,0,0,1,TRUE,FALSE
259,B.I.B.L.E. (Basic Instructions Before Leaving Earth),Killah Priest,Killah Priest,1995,male,2,1,0,0,0,0,1,TRUE,FALSE
260,Bible On The Dash,Gunplay,Gunplay,2012,male,2,1,0,0,0,0,1,TRUE,FALSE
261,Big Pimpin',JAY-Z ft. UGK,JAY-Z ft. UGK,1999,male,2,1,0,0,0,0,1,TRUE,FALSE
262,Bitch Don’t Kill My Vibe,Kendrick Lamar,Kendrick Lamar,2012,male,2,1,0,0,0,0,1,FALSE,FALSE
263,Clear Blue Skies,Juggaknots,Juggaknots,1996,mixed,2,1,0,0,0,0,1,TRUE,FALSE
264,Concrete Schoolyard,Jurassic 5,Jurassic 5,1998,male,2,1,0,0,0,0,1,TRUE,FALSE
265,Da Art of Storytellin’ (Pt. 2),OutKast,OutKast,1998,male,2,1,0,0,0,0,1,FALSE,FALSE
266,Da Mystery Of Chessboxin',Wu-Tan Clan,Wu-Tan Clan,1993,male,2,1,0,0,0,0,1,TRUE,FALSE
267,Déjà Vu (Uptown Baby),Lord Tariq & Peter Gunz,Lord Tariq & Peter Gunz,1998,male,2,1,0,0,0,0,1,TRUE,FALSE
268,Dipset Anthem,Diplomats ft. Juelz Santana & Cam’ron,Diplomats ft. Juelz Santana & Cam’ron,2003,male,2,1,0,0,0,0,1,TRUE,FALSE
269,DNA,Kendrick Lamar,Kendrick Lamar,2017,male,2,1,0,0,0,0,1,FALSE,FALSE
270,Fuck Tha World,Lil Wayne,Lil Wayne,1999,male,2,1,0,0,0,0,1,FALSE,FALSE
271,Fuck Wit Dre Day (And Everybody’s Celebratin’),Dr Dre ft. Snoop Doggy Dogg,Dr Dre ft. Snoop Doggy Dogg,1993,male,2,1,0,0,0,0,1,FALSE,TRUE
272,God’s Plan,Drake,Drake,2018,male,2,1,0,0,0,0,1,FALSE,FALSE
273,Gold Digger,Kanye West ft. Jamie Foxx,Kanye West ft. Jamie Foxx,2005,male,2,1,0,0,0,0,1,TRUE,FALSE
274,Gucci Gucci,Kreayshawn,Kreayshawn,2011,female,2,1,0,0,0,0,1,TRUE,FALSE
275,Heart Of The City (Ain’t No Love),JAY-Z,JAY-Z,2001,male,2,1,0,0,0,0,1,FALSE,FALSE
276,HYFR,Drake ft. Lil Wayne,Drake ft. Lil Wayne,2011,male,2,1,0,0,0,0,1,TRUE,FALSE
277,I Used To Love H.E.R.,Common,Common,1994,male,2,1,0,0,0,0,1,FALSE,FALSE
